Plant|Supplier|CompanyCode|PoNumber|PoItem|DeletionIndicator|Material|StorageLocaction|OrderQuantity|OrderUnit|CompletelyDelivered|ItemCreationDate|PurchaseReq|PurchasReqItem|Division|PoType
147A|BEC0AA0|147A|4500061525|00161||D3500602|SL82|1.000|ST||26/07/2023|0030268887|01880|10|YTPL
147A|BEC0AA0|147A|4500061525|00171||D3500702|SL82|1.000|ST||26/07/2023|0030268887|01890|10|YTPL
147A|BEC0AA0|147A|4500061525|00181||D3500802|SL82|1.000|ST||26/07/2023|0030268887|01900|10|YTPL
147A|BEC0AA0|147A|4500061525|00191||D3500902|SL82|1.000|ST||26/07/2023|0030268887|01910|10|YTPL
147A|BEC0AA0|147A|4500061525|00211||D3501202|SL82|1.000|ST||26/07/2023|0030268887|01920|10|YTPL
147A|BEC0AA0|147A|4500061525|00231||D3501302|SL82|1.000|ST||26/07/2023|0030268887|01930|10|YTPL
147A|BEC0AA0|147A|4500061525|00241||D3501502|SL82|1.000|ST||26/07/2023|0030268887|01940|10|YTPL
147A|BEC0AA0|147A|4500061525|00251||D3502102|SL82|1.000|ST||26/07/2023|0030268887|01950|10|YTPL
147A|BEC0AA0|147A|4500061525|00271||D3502501|SL82|1.000|ST||26/07/2023|0030268887|01960|10|YTPL
147A|BEC0AA0|147A|4500061525|00281||D3501002|SL82|1.000|ST||26/07/2023|0030268887|01970|10|YTPL
147A|BEC0AA0|147A|4500061525|00301||D3478101|SL82|1.000|ST||26/07/2023|0030268887|01980|10|YTPL
147A|BEC0AA0|147A|4500061525|00321||D3408401|SL82|1.000|ST||26/07/2023|0030268887|01990|10|YTPL
147A|BEC0AA0|147A|4500061525|00341||D3408601|SL82|1.000|ST||26/07/2023|0030268887|02000|10|YTPL
147A|BEC0AA0|147A|4500061525|00401||D3479001|SL82|1.000|ST||26/07/2023|0030268887|02010|10|YTPL
147A|BEC0AA0|147A|4500061525|00431||D3409401|SL82|1.000|ST||26/07/2023|0030268887|02020|10|YTPL
147A|BEC0AA0|147A|4500061525|00441||D3479101|SL82|1.000|ST||26/07/2023|0030268887|02030|10|YTPL
147A|BEC0AA0|147A|4500061525|00451||D3409501|SL82|1.000|ST||26/07/2023|0030268887|02040|10|YTPL
147A|BEC0AA0|147A|4500061525|00461||D3409701|SL82|1.000|ST||26/07/2023|0030268887|02050|10|YTPL
